2018-11-14 16:50:41 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 16:50:41 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 16:50:41 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 16:50:41 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 16:50:41 | INFO     | Suche Medium in /run/media/anke
2018-11-14 16:50:41 | INFO     | Suche in Endless Trash
2018-11-14 16:50:41 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 16:50:41 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 16:50:42 | INFO     | Suche Medium in /run/media/anke
2018-11-14 16:50:42 | INFO     | Suche in Endless Trash
2018-11-14 16:50:42 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 16:50:42 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 16:52:08 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 16:52:08 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 16:52:08 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 16:52:08 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 16:52:08 | INFO     | Suche Medium in /run/media/anke
2018-11-14 16:52:09 | INFO     | Suche in Endless Trash
2018-11-14 16:52:09 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 16:52:09 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 16:52:09 | INFO     | Suche Medium in /run/media/anke
2018-11-14 16:52:09 | INFO     | Suche in Endless Trash
2018-11-14 16:52:09 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 16:52:09 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:35:43 | DEBUG    | Application version: 0.5
2018-11-14 17:35:43 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 17:35:43 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 17:35:43 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:35:43 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:35:43 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:35:43 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 17:36:20 | DEBUG    | Application version: 0.5
2018-11-14 17:36:20 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 17:36:20 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 17:36:20 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:36:20 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:36:20 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:36:20 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 17:38:22 | DEBUG    | Application version: 0.5
2018-11-14 17:38:22 | DEBUG    | GTK+ version: 3.24.1
